#ZVView-data-copy:  26-Feb-2021 17:14:37
#=======================================
#
#name:   JENDL-4.0: AL-27(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2566
#data...
#            X            Y
#          MeV        barns
    0.00565971      1.41783 
    0.00566525       1.4248 
     0.0056719      1.43321 
    0.00567855      1.44164 
    0.00567966      1.44305 
     0.0056852      1.45227 
    0.00569185      1.46338 
     0.0056985      1.47453 
     0.0056996       1.4764 
    0.00570515      1.48822 
    0.00571179      1.50247 
     0.0057129      1.50485 
    0.00571844      1.51949 
    0.00572509      1.53714 
     0.0057262       1.5401 
    0.00573008      1.55298 
    0.00573506      1.56961 
     0.0057395      1.58444 
    0.00574005      1.58672 
    0.00574504      1.60729 
    0.00574947      1.62564 
    0.00575002      1.62842 
    0.00575501      1.65346 
    0.00575944      1.67582 
       0.00576      1.67924 
    0.00576465      1.70809 
    0.00576914      1.73602 
    0.00576942      1.73775 
    0.00577363      1.76917 
    0.00577607      1.78744 
    0.00577812      1.80523 
    0.00578249      1.84338 
     0.0057826      1.84451 
    0.00578698      1.88914 
     0.0057887      1.90674 
    0.00579114      1.93601 
     0.0057949      1.98145 
    0.00579529      1.98697 
    0.00579806       2.0265 
    0.00580083      2.06616 
    0.00580111      2.07014 
     0.0058036      2.11231 
    0.00580637      2.15932 
    0.00580665      2.16404 
    0.00580997      2.23007 
    0.00581153      2.26103 
     0.0058133      2.30231 
     0.0058164      2.37489 
    0.00581662      2.38086 
    0.00581884      2.44074 
    0.00582006      2.47378 
    0.00582106      2.50444 
    0.00582327      2.57281 
    0.00582371      2.58653 
    0.00582549      2.64873 
    0.00582704      2.70334 
    0.00582748      2.72101 
    0.00582948       2.8008 
    0.00583036      2.83638 
    0.00583147      2.88704 
    0.00583347      2.97854 
    0.00583369      2.98874 
    0.00583546      3.08227 
    0.00583701       3.1644 
    0.00583746       3.1908 
    0.00583923      3.29679 
    0.00583945      3.31141 
    0.00584144      3.44348 
    0.00584355      3.59807 
    0.00584377      3.61605 
    0.00584532      3.74242 
    0.00584566      3.76959 
    0.00584687      3.88006 
    0.00584776      3.96067 
    0.00584843      4.02796 
    0.00584987      4.17426 
    0.00584998      4.18683 
    0.00585153      4.36348 
    0.00585197      4.41414 
    0.00585308       4.5562 
    0.00585408      4.68451 
    0.00585445      4.73913 
    0.00585618      4.99072 
    0.00585625      5.00151 
    0.00585776      5.24798 
    0.00585805      5.29848 
     0.0058592      5.50522 
    0.00585924      5.51404 
    0.00586044       5.7529 
    0.00586101      5.86831 
    0.00586164       6.0062 
    0.00586238      6.17176 
    0.00586283      6.28287 
    0.00586374       6.5059 
     0.0058641      6.60163 
     0.0058651      6.87492 
    0.00586542      6.97189 
    0.00586671      7.36135 
    0.00586675      7.37623 
    0.00586786      7.74984 
    0.00586808      7.83151 
    0.00586902      8.17585 
    0.00586919      8.24772 
    0.00587017      8.64464 
    0.00587052      8.80443 
    0.00587141      9.20541 
     0.0058715      9.24565 
     0.0058723      9.65079 
    0.00587283      9.92178 
    0.00587318      10.1207 
    0.00587371      10.4201 
    0.00587407      10.6363 
     0.0058746      10.9616 
    0.00587495      11.1969 
    0.00587549      11.5511 
    0.00587584      11.8078 
    0.00587637      12.1942 
    0.00587673      12.4749 
    0.00587726      12.8974 
    0.00587761       13.205 
    0.00587815      13.6681 
     0.0058785       14.006 
    0.00587903      14.5147 
    0.00587939      14.8867 
    0.00587992      15.4469 
    0.00588027      15.8574 
    0.00588081      16.4757 
    0.00588116      16.9299 
    0.00588169       17.614 
    0.00588205      18.1177 
    0.00588258      18.8765 
    0.00588293      19.4364 
    0.00588347      20.2794 
     0.0058836      20.5101 
    0.00588413      21.4358 
    0.00588426      21.6862 
    0.00588479      22.6913 
    0.00588493      22.9635 
    0.00588546      24.0557 
    0.00588559      24.3518 
    0.00588612      25.5399 
    0.00588626      25.8621 
    0.00588679      27.1554 
    0.00588692      27.5062 
    0.00588745      28.9145 
    0.00588759      29.2966 
    0.00588812      30.8304 
    0.00588825      31.2464 
    0.00588878      32.9164 
    0.00588892      33.3691 
    0.00588945       35.186 
    0.00588958       35.678 
    0.00589011      37.6523 
    0.00589025       38.186 
    0.00589078      40.3273 
    0.00589091      40.9045 
    0.00589144      43.2208 
    0.00589158      43.8432 
    0.00589211      46.3399 
    0.00589224      47.0078 
    0.00589268      49.2395 
    0.00589277      49.6871 
    0.00589357      54.0159 
    0.00589366      54.4985 
    0.00589446      59.1608 
    0.00589455      59.6802 
    0.00589534      64.6233 
    0.00589543      65.1736 
    0.00589809      82.3821 
    0.00589811      82.5175 
    0.00589902      88.0508 
    0.00589911      88.5443 
    0.00589975      92.1053 
        0.0059      93.2986 
    0.00590049      95.6701 
    0.00590066      96.3965 
    0.00590115      98.3782 
    0.00590133      98.9475 
    0.00590182      100.495 
    0.00590199       100.88 
    0.00590254      102.053 
    0.00590266      102.185 
    0.00590311      102.681 
    0.00590332      102.753 
    0.00590348      102.803 
     0.0059035      102.808 
    0.00590411      102.436 
    0.00590423      102.358 
    0.00590474      101.445 
    0.00590496      101.039 
    0.00590538      99.8881 
    0.00590545       99.704 
    0.00590603      97.6651 
    0.00590609      97.4276 
    0.00590667      94.9199 
    0.00590674      94.6286 
    0.00590731      91.7222 
    0.00590738      91.3849 
    0.00590828      86.2565 
    0.00590834      85.8751 
    0.00590956       78.203 
    0.00590963       77.784 
    0.00591166      64.6922 
    0.00591174      64.1497 
    0.00591272      58.1976 
    0.00591281      57.6891 
    0.00591352      53.6325 
    0.00591361      53.1578 
    0.00591432      49.3722 
     0.0059144      48.9333 
    0.00591511      45.4342 
     0.0059152      45.0315 
    0.00591591      41.8217 
      0.005916      41.4543 
    0.00591671      38.5268 
     0.0059168       38.193 
    0.00591751      35.5342 
     0.0059176      35.2319 
     0.0059183      32.8239 
    0.00591839      32.5507 
    0.00591901      30.6451 
     0.0059191      30.3737 
    0.00591963      28.8811 
    0.00591972      28.6332 
    0.00592026      27.2544 
    0.00592034      27.0253 
    0.00592088      25.7513 
    0.00592096      25.5397 
     0.0059215      24.3622 
    0.00592158      24.1665 
    0.00592212      23.0774 
    0.00592221      22.8965 
    0.00592274      21.8884 
    0.00592283      21.7209 
    0.00592336      20.8035 
    0.00592376      20.1176 
    0.00592407      19.6327 
    0.00592447      19.0114 
    0.00592478      18.5678 
    0.00592526      17.8732 
    0.00592549      17.5843 
    0.00592606      16.8358 
    0.00592619      16.6774 
    0.00592686      15.8885 
     0.0059269      15.8402 
    0.00592761      15.0699 
    0.00592766      15.0219 
    0.00592832      14.3596 
    0.00592845      14.2276 
    0.00592903      13.7002 
    0.00592925       13.498 
    0.00592983      13.0127 
    0.00593005      12.8266 
    0.00593063      12.3801 
    0.00593089      12.1747 
    0.00593142      11.7964 
    0.00593178       11.545 
    0.00593222      11.2556 
    0.00593267      10.9673 
    0.00593342      10.5152 
    0.00593355      10.4358 
    0.00593462      9.85951 
    0.00593488      9.71595 
    0.00593541      9.45973 
    0.00593621       9.0767 
    0.00593649      8.95753 
    0.00593754      8.50645 
    0.00593756      8.49792 
    0.00593864      8.08583 
    0.00593891      7.98211 
    0.00593971      7.70589 
    0.00594028      7.51226 
    0.00594079      7.35449 
    0.00594165       7.0896 
    0.00594186      7.02919 
    0.00594294      6.72968 
    0.00594302      6.70814 
    0.00594401       6.4563 
    0.00594438      6.36288 
    0.00594538      6.13537 
    0.00594575      6.04926 
    0.00594674      5.84326 
    0.00594712       5.7637 
     0.0059481      5.57972 
    0.00594902      5.40755 
    0.00594946      5.33339 
    0.00595062      5.13974 
    0.00595083      5.10855 
    0.00595219      4.90192 
    0.00595222       4.8971 
    0.00595355      4.71356 
    0.00595382      4.67663 
    0.00595492      4.54093 
    0.00595596      4.41254 
    0.00595647      4.35601 
    0.00595802      4.18552 
    0.00595809      4.17794 
    0.00595957      4.03248 
    0.00596022       3.9688 
    0.00596112      3.88958 
    0.00596236      3.78146 
    0.00596267      3.75623 
    0.00596449      3.61311 
      0.005965      3.57652 
    0.00596666      3.45839 
    0.00596733      3.41555 
    0.00596888      3.31602 
    0.00596932      3.29076 
    0.00597132      3.17752 
     0.0059722      3.12736 
    0.00597331       3.0727 
    0.00597531      2.97465 
    0.00597553      2.96379 
     0.0059773      2.88758 
    0.00597885      2.82111 
     0.0059793      2.80435 
    0.00598218      2.69585 
    0.00598229      2.69216 
     0.0059845      2.61871 
    0.00598572      2.57845 
    0.00598694      2.54289 
    0.00598938      2.47203 
    0.00599182      2.40947 
    0.00599304      2.37829 
    0.00599426      2.35105 
    0.00599669      2.29677 
    0.00599791      2.26973 
    0.00600035      2.22308 
    0.00600279       2.1766 
    0.00600603       2.1229 
    0.00600765      2.09615 
    0.00600927      2.07271 
    0.00601251      2.02601 
    0.00601575      1.98586 
    0.00601899      1.94584 
    0.00602224      1.91185 
    0.00602548      1.87796 
    0.00602872      1.84896 
    0.00603209      1.81892 
    0.00603714      1.78019 
    0.00603882      1.76733 
    0.00604219      1.74574 
    0.00604724      1.71349 
    0.00604892      1.70279 
    0.00605229      1.68519 
     0.0060573      1.65913 
    0.00605894      1.65061 
    0.00606223       1.6364 
    0.00606716      1.61517 
     0.0060688      1.60812 
    0.00607209      1.59652 
    0.00607538      1.58496 
    0.00608195       1.5619 
    0.00608878      1.54261 
     0.0060956       1.5234 
    0.00610242      1.50844 
    0.00610925      1.49354 
    0.00611607      1.47869 
     0.0061229      1.46741 
    0.00612972      1.45617 
    0.00613655      1.44498 
    0.00614337      1.43657 
    0.00615361      1.42402 
    0.00616384      1.41153 
    0.00617408      1.40221 
    0.00618432      1.39293 
    0.00619114      1.38677 
    0.00619455      1.38453 
    0.00620479      1.37784 
    0.00621503      1.37117 
    0.00622526      1.36452 
    0.00623209       1.3601 
     0.0062355       1.3586 
    0.00624574      1.35411 
    0.00625938      1.34814 
    0.00627303       1.3422 
    0.00628668      1.33628 
    0.00630033      1.33239 
    0.00631398      1.32851 
    0.00632763      1.32464 
    0.00634128      1.32078 
    0.00635492      1.31694 
    0.00636857       1.3145 
    0.00638222      1.31206 
    0.00640042      1.30883 
    0.00641862       1.3056 
    0.00643682      1.30239 
    0.00645501      1.29919 
    0.00647321      1.29728 
    0.00649141      1.29537 
    0.00650961      1.29347 
    0.00653691      1.29063 
     0.0065642      1.28781 
     0.0065915      1.28499 
     0.0066188      1.28217 
      0.006637       1.2811 
    0.00667339      1.27895 
    0.00670069      1.27735 
    0.00672799      1.27575 
    0.00676439      1.27363 
    0.00680078      1.27151 
    0.00683718      1.26939 
    0.00687357      1.26728 
    0.00690997      1.26517 
    0.00692817      1.26412 
    0.00696457      1.26281 
    0.00701916      1.26085 
    0.00707375      1.25889 
    0.00714655      1.25628 
    0.00723754      1.25303 
    0.00731033      1.25044 
    0.00738312      1.24784 
    0.00745592      1.24525 
    0.00756511      1.24137 
     0.0076743      1.23749 
    0.00771069       1.2362 
    0.00781988      1.23286 
         0.008      1.22734 
    0.00816827      1.22219 
    0.00831488      1.21771 
    0.00852077      1.21142 
    0.00881605       1.2024 
    0.00904795      1.19531 
    0.00934117      1.18636 
    0.00981038      1.17203 
     0.0101382      1.16203 
     0.0107982      1.14189 
     0.0112945      1.12675 
     0.0114353      1.12197 
     0.0122804      1.09329 
     0.0132289       1.0611 
     0.0135463      1.05033 
     0.0142087      1.02539 
      0.015235     0.986742 
      0.015559     0.974546 
     0.0162859     0.944452 
     0.0171687     0.907905 
     0.0173367     0.900952 
     0.0180636     0.867937 
     0.0186683     0.840478 
      0.019138     0.819151 
      0.019273     0.812476 
     0.0198777     0.782582 
     0.0204426     0.754661 
     0.0209078     0.731665 
     0.0209394     0.730004 
     0.0216863     0.690771 
     0.0222905     0.659043 
     0.0227408     0.635394 
     0.0231911     0.611749 
     0.0236415     0.588108 
     0.0240918     0.564472 
     0.0242419     0.556595 
     0.0245422     0.542127 
     0.0248424     0.527663 
     0.0249925     0.520432 
     0.0251426     0.513904 
     0.0254429     0.500851 
     0.0257431     0.489749 
     0.0258932       0.4842 
     0.0260433     0.479607 
     0.0261934     0.475016 
     0.0263436     0.470908 
     0.0266438     0.464965 
     0.0269909     0.461738 
     0.0270378      0.46163 
     0.0273193     0.463235 
     0.0273239     0.463262 
      0.027507     0.466485 
     0.0276008     0.469182 
     0.0276946     0.471881 
     0.0278897     0.480061 
     0.0280849     0.491254 
     0.0281449     0.495777 
      0.028265     0.504827 
     0.0283647     0.514062 
     0.0284452     0.521517 
     0.0285653      0.53489 
     0.0287154     0.554311 
     0.0287904     0.565686 
     0.0288655     0.577064 
     0.0289856     0.597953 
     0.0291057     0.621503 
     0.0292258     0.647966 
     0.0293459     0.677647 
     0.0294059     0.694259 
      0.029466     0.710874 
      0.029586     0.748014 
     0.0297061     0.789488 
     0.0297662     0.812618 
     0.0298262     0.835752 
     0.0299463     0.887323 
     0.0300664      0.94479 
     0.0301265     0.976793 
     0.0301865       1.0088 
     0.0303066      1.08009 
     0.0304267       1.1595 
     0.0304867      1.20369 
     0.0305468      1.24789 
     0.0306368      1.32093 
     0.0307269      1.39982 
      0.030787      1.45719 
      0.030817      1.48587 
     0.0309071      1.57879 
     0.0309671      1.64641 
     0.0309971      1.68022 
     0.0310872      1.78982 
     0.0311172      1.82974 
     0.0311773      1.90959 
     0.0312673      2.03909 
     0.0313574      2.18077 
     0.0314174        2.283 
     0.0314475      2.33412 
     0.0315375      2.50208 
     0.0315676      2.56275 
     0.0316276      2.68409 
     0.0317177      2.88367 
     0.0318077       3.1002 
     0.0318378      3.17945 
     0.0318978      3.33795 
     0.0319579      3.51009 
     0.0319879      3.59617 
      0.032078      3.88005 
      0.032168      4.18872 
      0.032198      4.30195 
     0.0322581      4.52843 
     0.0323181      4.77489 
     0.0323482      4.89814 
     0.0324382      5.30538 
     0.0325283      5.74885 
     0.0325583      5.91175 
     0.0326184      6.23757 
     0.0326784      6.59238 
     0.0327084      6.76981 
     0.0327985      7.35618 
     0.0328586       7.7765 
     0.0329186      8.22282 
     0.0330087      8.94204 
     0.0330387      9.20536 
     0.0330987      9.73203 
     0.0331588       10.303 
     0.0331888      10.5886 
     0.0332789      11.5254 
     0.0333689      12.5363 
      0.033399      12.9022 
      0.033459      13.6342 
     0.0335491      14.8097 
     0.0336391      16.0724 
     0.0337292      17.4291 
     0.0337592      17.8814 
     0.0338493      19.3141 
     0.0339469      20.9234 
     0.0340595      22.8284 
     0.0341796      24.8603 
     0.0342396      25.8761 
     0.0342997      26.8469 
     0.0343597      27.8176 
     0.0343897       28.254 
     0.0344798      29.5631 
     0.0345699      30.6939 
     0.0346599      31.6544 
     0.0347012      31.9947 
     0.0347545       32.434 
      0.034762      32.4765 
     0.0348401      32.9184 
     0.0349301      33.1998 
     0.0349602      33.2358 
     0.0349902      33.2717 
     0.0350803      33.1834 
     0.0351703      32.8873 
     0.0352604      32.4199 
     0.0352904      32.2177 
     0.0353204      32.0155 
     0.0354405      31.0361 
     0.0355906      29.5782 
     0.0357708      27.6214 
     0.0358308      26.9691 
     0.0358909      26.3123 
     0.0359509      25.6554 
      0.036071      24.3418 
     0.0361311       23.685 
     0.0361911      23.0698 
     0.0363112      21.8396 
     0.0364313      20.6927 
     0.0365514      19.6148 
     0.0366715      18.6067 
     0.0367916      17.6671 
     0.0369117      16.7936 
     0.0370317      15.9826 
     0.0371518      15.2303 
     0.0372719      14.5327 
      0.037392      13.8858 
     0.0375121      13.2855 
     0.0376322      12.7406 
     0.0376923      12.4682 
     0.0377523      12.2216 
     0.0378724      11.7286 
     0.0379925      11.2896 
     0.0380525      11.0701 
