#ZVView-data-copy:  26-Feb-2021 18:27:25
#=======================================
#
#name:   ENDF/B-VIII.0: AL-27(N,G)AL-28
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6537
#data...
#            X            Y
#          MeV        barns
     0.0243259   0.00183029 
     0.0243264   0.00173036 
     0.0243268   0.00164339 
     0.0243273   0.00156782 
     0.0243278   0.00150218 
     0.0243282   0.00144521 
     0.0243287   0.00139574 
     0.0243291   0.00135277 
     0.0243298   0.00129855 
     0.0243305    0.0012544 
     0.0243312   0.00121822 
     0.0243318   0.00118838 
     0.0243328   0.00115616 
     0.0243337   0.00113046 
      0.024335   0.00110053 
     0.0243364   0.00107764 
     0.0243382   0.00105419 
     0.0243409   0.00102837 
     0.0243437    0.0010095 
     0.0243473  0.000991034 
     0.0243528  0.000972172 
     0.0243582  0.000959671 
     0.0243655   0.00094872 
     0.0243764  0.000939108 
      0.024391  0.000932305 
     0.0244274  0.000927827 
     0.0244856  0.000930799 
     0.0245438  0.000937098 
     0.0247767  0.000969082 
     0.0251117    0.0010213 
     0.0254467   0.00107924 
     0.0257818   0.00114345 
     0.0261168   0.00121476 
     0.0264309   0.00128943 
      0.026745   0.00137152 
     0.0269544   0.00143169 
     0.0271721   0.00149919 
     0.0274569   0.00159614 
     0.0277249   0.00169713 
     0.0279259   0.00177974 
     0.0281772    0.0018937 
      0.028395   0.00200121 
      0.028596   0.00211064 
      0.028797   0.00222907 
      0.028998    0.0023596 
      0.029199   0.00250147 
     0.0294001   0.00265871 
     0.0296011   0.00283044 
     0.0298021   0.00302191 
     0.0300031   0.00323211 
     0.0301371   0.00338575 
     0.0302711   0.00355084 
     0.0304051   0.00372848 
     0.0305392   0.00391992 
     0.0306732   0.00412652 
     0.0308407   0.00440863 
     0.0310082   0.00471971 
     0.0311757    0.0050651 
     0.0313432   0.00544749 
     0.0314772   0.00578459 
     0.0316112   0.00615229 
     0.0317453   0.00655394 
     0.0318793   0.00699324 
     0.0320133   0.00747427 
     0.0321473   0.00800152 
     0.0322813   0.00857984 
     0.0324153    0.0092144 
     0.0325493   0.00991067 
     0.0326833    0.0106742 
     0.0328173    0.0115102 
     0.0329514    0.0124238 
     0.0330854    0.0134185 
     0.0332194    0.0144963 
     0.0333534    0.0156562 
     0.0335209    0.0172142 
     0.0337554     0.019545 
     0.0340569    0.0225895 
      0.034191    0.0238435 
      0.034325    0.0249574 
     0.0344255    0.0256582 
      0.034526    0.0262278 
     0.0346265    0.0266245 
      0.034727    0.0268543 
     0.0348007    0.0269003 
     0.0348962    0.0267947 
      0.034995    0.0265251 
     0.0350955    0.0260611 
      0.035196    0.0254484 
     0.0352966    0.0246895 
     0.0354306    0.0235157 
     0.0355981    0.0218671 
     0.0360336    0.0173533 
     0.0361676    0.0160443 
     0.0363016    0.0148109 
     0.0364356    0.0136611 
     0.0365697    0.0125984 
     0.0367037    0.0116222 
     0.0368377    0.0107294 
     0.0369717   0.00991528 
     0.0371057    0.0091744 
     0.0372397   0.00850087 
     0.0373737   0.00788881 
     0.0375077   0.00733253 
     0.0376417    0.0068267 
     0.0377758   0.00636635 
     0.0379098   0.00594695 
     0.0380438   0.00556438 
     0.0381778   0.00521494 
     0.0383118    0.0048953 
     0.0384458   0.00460246 
     0.0385798   0.00433378 
     0.0387138   0.00408687 
     0.0388478   0.00385961 
     0.0389819   0.00365011 
     0.0391159   0.00345669 
     0.0392499   0.00327783 
     0.0393839    0.0031122 
     0.0395179   0.00295859 
     0.0396519   0.00281593 
     0.0397859   0.00268324 
     0.0399199   0.00255967 
     0.0401209   0.00239044 
      0.040322   0.00223622 
      0.040523   0.00209777 
      0.040724   0.00197098 
      0.040925   0.00185652 
      0.041126   0.00175123 
     0.0413271   0.00165568 
     0.0415616   0.00155351 
     0.0417291   0.00148673 
     0.0419971   0.00138898 
     0.0422651   0.00130114 
     0.0424829   0.00123622 
     0.0427007   0.00117645 
     0.0429101   0.00112336 
     0.0431194   0.00107416 
     0.0433288   0.00102848 
     0.0435382  0.000986034 
     0.0438733   0.00092409 
     0.0442083  0.000868635 
     0.0445433  0.000818843 
     0.0448783  0.000774002 
     0.0452134  0.000733508 
     0.0455484  0.000696846 
     0.0458834  0.000663576 
     0.0462185  0.000633318 
     0.0465529   0.00060579 
     0.0470238  0.000571172 
     0.0474334  0.000544124 
     0.0478429  0.000520062 
     0.0482524  0.000498622 
     0.0485255  0.000484853 
